name,symptoms,treatment
đái tháo đường,"khát nước, tiểu nhiều, mệt mỏi","ăn kiêng, tiêm insulin, thuốc hạ đường huyết"
tăng huyết áp,"đau đầu, chóng mặt, mờ mắt","thuốc hạ huyết áp, giảm muối, tập thể dục"
viêm gan b,"mệt mỏi, vàng da, đau bụng","thuốc kháng virus, nghỉ ngơi, theo dõi chức năng gan"
suy thận mạn,"phù, tiểu ít, mệt mỏi","lọc máu, thuốc điều chỉnh, chế độ ăn ít đạm"
viêm phổi,"sốt, ho có đờm, khó thở","kháng sinh, nghỉ ngơi, uống đủ nước"
loét dạ dày,"đau bụng, ợ chua, buồn nôn","thuốc ức chế axit, kháng sinh, tránh thực phẩm kích thích"
đau nửa đầu,"đau đầu dữ dội, buồn nôn, sợ ánh sáng","thuốc giảm đau, nghỉ ngơi, tránh kích thích"
viêm khớp dạng thấp,"đau khớp, cứng khớp, sưng","thuốc chống viêm, vật lý trị liệu, nghỉ ngơi"
hen suyễn,"khó thở, khò khè, tức ngực","thuốc giãn phế quản, tránh tác nhân dị ứng"
sốt xuất huyết,"sốt cao, đau cơ, phát ban","truyền dịch, nghỉ ngơi, theo dõi tại bệnh viện"
viêm họng,"đau họng, sốt, khó nuốt","súc miệng nước muối, kháng sinh nếu nhiễm khuẩn"
tiểu đường type 2,"mệt mỏi, khát nước, mờ mắt","thuốc hạ đường huyết, ăn kiêng, tập thể dục"
lao phổi,"ho kéo dài, sốt nhẹ, sút cân","thuốc chống lao, nghỉ ngơi, dinh dưỡng tốt"
viêm da dị ứng,"ngứa, đỏ da, phát ban","kem bôi corticosteroid, tránh chất gây dị ứng"
suy tim,"khó thở, phù chân, mệt mỏi","thuốc lợi tiểu, thuốc giãn mạch, nghỉ ngơi"
viêm mũi dị ứng,"hắt hơi, ngạt mũi, chảy nước mũi","thuốc kháng histamin, tránh dị nguyên"
ung thư phổi,"ho mãn, đau ngực, khó thở","phẫu thuật, hóa trị, xạ trị"
đột quỵ,"yếu liệt, nói khó, đau đầu đột ngột","cấp cứu, thuốc tiêu sợi huyết, phục hồi chức năng"
bệnh gout,"đau khớp, sưng đỏ, nóng","thuốc giảm axit uric, chế độ ăn ít purin"
viêm loét đại tràng,"đau bụng, tiêu chảy, phân máu","thuốc chống viêm, chế độ ăn phù hợp"
thiếu máu,"mệt mỏi, da nhợt, chóng mặt","bổ sung sắt, vitamin b12, truyền máu nếu cần"
sỏi thận,"đau lưng, tiểu buốt, tiểu máu","uống nhiều nước, thuốc tan sỏi, phẫu thuật nếu cần"
viêm gan c,"mệt mỏi, vàng da, đau bụng","thuốc kháng virus, nghỉ ngơi, theo dõi gan"
bệnh parkinson,"run tay, cứng cơ, chậm vận động","thuốc tăng dopamine, vật lý trị liệu"
tăng nhãn áp,"đau mắt, mờ mắt, buồn nôn","thuốc nhỏ mắt, phẫu thuật nếu cần"
viêm bàng quang,"tiểu rắt, đau bụng dưới, sốt","kháng sinh, uống nhiều nước, nghỉ ngơi"
động kinh,"co giật, mất ý thức, mệt mỏi","thuốc chống động kinh, theo dõi định kỳ"
bệnh basedow,"bướu cổ, tim đập nhanh, sụt cân","thuốc kháng giáp, phẫu thuật nếu cần"
viêm tai giữa,"đau tai, sốt, giảm thính lực","kháng sinh, thuốc giảm đau, nghỉ ngơi"
suy giáp,"mệt mỏi, tăng cân, da khô","thuốc thay thế hormone, theo dõi định kỳ"
viêm ruột thừa,"đau bụng phải, sốt, buồn nôn","phẫu thuật cắt ruột thừa, kháng sinh"
bệnh trĩ,"đau hậu môn, chảy máu, ngứa","thuốc bôi, phẫu thuật, chế độ ăn nhiều chất xơ"
hội chứng ruột kích thích,"đau bụng, tiêu chảy, táo bón","thuốc điều hòa nhu động ruột, chế độ ăn phù hợp"
viêm phế quản mạn,"ho có đờm, khó thở, mệt mỏi","thuốc giãn phế quản, tránh khói bụi"
bệnh lupus,"phát ban, đau khớp, mệt mỏi","thuốc chống viêm, ức chế miễn dịch"
viêm dạ dày,"đau bụng, buồn nôn, đầy hơi","thuốc ức chế axit, chế độ ăn nhẹ"
sỏi mật,"đau bụng phải, buồn nôn, sốt","phẫu thuật cắt túi mật, thuốc tan sỏi"
bệnh chàm,"ngứa, đỏ da, khô da","kem dưỡng ẩm, corticosteroid, tránh kích ứng"
hội chứng tiền kinh nguyệt,"đau bụng, mệt mỏi, cáu gắt","thuốc giảm đau, thay đổi lối sống"
nhiễm trùng đường tiết niệu,"tiểu buốt, tiểu nhiều, đau bụng","kháng sinh, uống nhiều nước"
bệnh alzheimer,"mất trí nhớ, lú lẫn, khó nói","thuốc cải thiện trí nhớ, chăm sóc hỗ trợ"
viêm kết mạc,"mắt đỏ, ngứa, chảy nước mắt","thuốc nhỏ mắt, vệ sinh mắt sạch"
bệnh tiểu đêm,"tiểu nhiều về đêm, mất ngủ","thuốc điều hòa bàng quang, hạn chế uống tối"
viêm xoang,"đau đầu, nghẹt mũi, chảy mũi","thuốc thông mũi, kháng sinh nếu nhiễm khuẩn"
hội chứng ống cổ tay,"tê tay, đau cổ tay, yếu tay","nẹp cổ tay, vật lý trị liệu, phẫu thuật"
bệnh vảy nến,"đỏ da, bong tróc, ngứa","kem bôi corticosteroid, quang trị liệu"
viêm gan a,"sốt, vàng da, mệt mỏi","nghỉ ngơi, chế độ ăn nhẹ, tiêm phòng"
bệnh crohn,"đau bụng, tiêu chảy, sút cân","thuốc chống viêm, chế độ ăn phù hợp"
hội chứng chân không yên,"ngứa chân, khó chịu về đêm","thuốc tăng dopamine, massage chân"
bệnh zona,"phát ban, đau rát, ngứa","thuốc kháng virus, thuốc giảm đau"
